,signal0
0,949
1,949
2,949
3,949
4,949
5,949
6,949
7,949
8,947
9,947
10,947
11,948
12,952
13,952
14,950
15,951
16,950
17,952
18,953
19,955
20,956
21,955
22,955
23,958
24,959
25,962
26,963
27,962
28,962
29,964
30,968
31,974
32,974
33,975
34,977
35,980
36,985
37,991
38,992
39,992
40,997
41,1000
42,1006
43,1012
44,1015
45,1017
46,1021
47,1024
48,1030
49,1036
50,1038
51,1039
52,1039
53,1044
54,1046
55,1051
56,1050
57,1053
58,1051
59,1056
60,1057
61,1059
62,1061
63,1059
64,1057
65,1058
66,1056
67,1054
68,1052
69,1048
70,1041
71,1040
72,1038
73,1035
74,1028
75,1023
76,1014
77,1011
78,1007
79,1005
80,999
81,995
82,991
83,989
84,987
85,983
86,981
87,980
88,978
89,975
90,976
91,975
92,975
93,971
94,971
95,971
96,972
97,973
98,970
99,971
100,969
101,971
102,969
103,971
104,970
105,971
106,968
107,967
108,969
109,972
110,974
111,971
112,970
113,971
114,976
115,975
116,974
117,974
118,973
119,976
120,978
121,979
122,978
123,976
124,976
125,976
126,980
127,980
128,980
129,979
130,976
131,977
132,981
133,980
134,978
135,978
136,977
137,977
138,980
139,981
140,978
141,976
142,974
143,975
144,976
145,976
146,977
147,974
148,973
149,973
150,974
151,975
152,973
153,970
154,970
155,971
156,972
157,973
158,970
159,968
160,966
161,967
162,967
163,966
164,966
165,966
166,964
167,965
168,964
169,964
170,963
171,964
172,960
173,961
174,961
175,964
176,962
177,962
178,959
179,959
180,960
181,960
182,962
183,959
184,959
185,960
186,961
187,965
188,969
189,968
190,968
191,971
192,973
193,975
194,976
195,977
196,975
197,976
198,977
199,981
200,981
201,981
202,978
203,980
204,982
205,983
206,981
207,981
208,975
209,973
210,974
211,972
212,970
213,970
214,970
215,973
216,974
217,973
218,972
219,965
220,961
221,960
222,959
223,958
224,956
225,953
226,948
227,947
228,948
229,948
230,945
231,942
232,943
233,942
234,943
235,944
236,946
237,943
238,940
239,942
240,944
241,944
242,945
243,943
244,942
245,943
246,944
247,943
248,943
249,940
250,935
251,929
252,916
253,908
254,906
255,914
256,927
257,946
258,982
259,1042
260,1118
261,1194
262,1262
263,1326
264,1374
265,1394
266,1384
267,1341
268,1252
269,1148
270,1050
271,977
272,936
273,920
274,919
275,927
276,943
277,958
278,965
279,960
280,952
281,949
282,949
283,948
284,948
285,945
286,940
287,938
288,937
289,938
290,937
291,934
292,931
293,932
294,934
295,935
296,932
297,931
298,927
299,930
300,933
301,931
302,932
303,930
304,929
305,931
306,929
307,929
308,930
309,931
310,927
311,930
312,932
313,933
314,936
315,932
316,930
317,934
318,938
319,937
320,937
321,937
322,936
323,939
324,942
325,945
326,946
327,944
328,944
329,946
330,950
331,955
332,956
333,956
334,955
335,960
336,966
337,969
338,972
339,973
340,976
341,982
342,987
343,992
344,997
345,998
346,999
347,1004
348,1010
349,1016
350,1016
351,1019
352,1023
353,1027
354,1031
355,1036
356,1035
357,1036
358,1038
359,1041
360,1045
361,1047
362,1046
363,1046
364,1043
365,1044
366,1043
367,1042
368,1041
369,1035
370,1033
371,1030
372,1027
373,1022
374,1018
375,1011
376,1006
377,1001
378,998
379,994
380,988
381,981
382,976
383,974
384,972
385,970
386,969
387,963
388,961
389,959
390,961
391,962
392,962
393,954
394,955
395,954
396,958
397,959
398,958
399,955
400,954
401,955
402,954
403,956
404,955
405,954
406,953
407,954
408,958
409,958
410,958
411,958
412,957
413,959
414,960
415,961
416,961
417,960
418,958
419,961
420,962
421,964
422,964
423,962
424,960
425,962
426,963
427,965
428,965
429,965
430,961
431,962
432,965
433,965
434,964
435,962
436,963
437,962
438,963
439,965
440,964
441,961
442,959
443,958
444,961
445,962
446,961
447,959
448,957
449,958
450,959
451,960
452,957
453,958
454,956
455,954
456,955
457,956
458,956
459,954
460,953
461,954
462,955
463,955
464,955
465,954
466,949
467,951
468,952
469,950
470,951
471,951
472,948
473,947
474,949
475,950
476,949
477,947
478,944
479,948
480,947
481,949
482,950
483,946
484,944
485,945
486,949
487,948
488,947
489,947
490,945
491,944
492,945
493,947
494,948
495,947
496,947
497,949
498,952
499,953
500,957
501,957
502,961
503,962
504,962
505,962
506,961
507,963
508,962
509,967
510,970
511,971
512,972
513,970
514,969
515,971
516,974
517,974
518,971
519,969
520,965
521,961
522,962
523,961
524,961
525,962
526,960
527,962
528,964
529,960
530,956
531,953
532,949
533,948
534,948
535,946
536,943
537,943
538,940
539,938
540,939
541,938
542,937
543,934
544,934
545,934
546,934
547,937
548,936
549,936
550,932
551,933
552,934
553,934
554,936
555,934
556,933
557,934
558,937
559,937
560,935
561,932
562,922
563,910
564,900
565,897
566,906
567,917
568,933
569,969
570,1033
571,1113
572,1199
573,1270
574,1331
575,1374
576,1392
577,1370
578,1297
579,1182
580,1063
581,972
582,927
583,914
584,916
585,923
586,940
587,953
588,956
589,949
590,945
591,941
592,941
593,941
594,943
595,938
596,933
597,929
598,925
599,925
600,927
601,927
602,927
603,922
604,921
605,920
606,924
607,925
608,924
609,926
610,922
611,924
612,925
613,927
614,925
615,925
616,922
617,924
618,926
619,928
620,926
621,929
622,925
623,930
624,930
625,930
626,932
627,931
628,933
629,935
630,937
631,942
632,943
633,942
634,942
635,944
636,948
637,953
638,956
639,958
640,958
641,965
642,969
643,971
644,975
645,978
646,981
647,986
648,991
649,998
650,1004
651,1004
652,1007
653,1011
654,1014
655,1020
656,1022
657,1023
658,1023
659,1029
660,1030
661,1038
662,1038
663,1036
664,1035
665,1038
666,1039
667,1039
668,1036
669,1033
670,1027
671,1027
672,1026
673,1023
674,1021
675,1009
676,1005
677,1001
678,999
679,996
680,991
681,983
682,978
683,974
684,972
685,970
686,968
687,963
688,960
689,959
690,960
691,957
692,958
693,953
694,952
695,953
696,955
697,955
698,954
699,954
700,953
701,955
702,956
703,955
704,955
705,954
706,953
707,954
708,956
709,958
710,957
711,957
712,955
713,956
714,957
715,959
716,958
717,956
718,956
719,959
720,958
721,960
722,961
723,959
724,957
725,957
726,959
727,962
728,962
729,960
730,957
731,960
732,960
733,961
734,962
735,957
736,959
737,957
738,961
739,958
740,960
741,957
742,957
743,958
744,959
745,961
746,961
747,960
748,955
749,957
750,958
751,957
752,957
753,955
754,954
755,954
756,953
757,954
758,953
759,951
760,949
761,951
762,950
763,952
764,951
765,947
766,947
767,948
768,950
769,949
770,949
771,947
772,945
773,946
774,947
775,945
776,945
777,943
778,942
779,942
780,943
781,944
782,944
783,942
784,942
785,942
786,943
787,943
788,943
789,944
790,944
791,944
792,947
793,947
794,948
795,943
796,943
797,945
798,945
799,947
800,951
801,950
802,954
803,957
804,958
805,960
806,961
807,958
808,957
809,960
810,962
811,966
812,966
813,963
814,961
815,964
816,968
817,966
818,966
819,964
820,960
821,959
822,955
823,955
824,956
825,954
826,955
827,956
828,960
829,959
830,956
831,951
832,947
833,946
834,948
835,947
836,945
837,941
838,938
839,938
840,935
841,935
842,933
843,933
844,933
845,935
846,937
847,937
848,934
849,931
850,930
851,932
852,934
853,935
854,936
855,935
856,933
857,933
858,934
859,935
860,934
861,933
862,929
863,921
864,910
865,904
866,907
867,917
868,930
869,952
870,990
871,1058
872,1131
873,1204
874,1267
875,1325
876,1361
877,1364
878,1325
879,1236
880,1122
881,1019
882,951
883,919
884,909
885,910
886,928
887,948
888,957
889,955
890,945
891,942
892,938
893,941
894,940
895,939
896,936
897,930
898,929
899,928
900,929
901,929
902,928
903,927
904,925
905,927
906,927
907,926
908,928
909,926
910,927
911,928
912,930
913,929
914,927
915,926
916,926
917,926
918,929
919,928
920,930
921,928
922,926
923,927
924,933
925,934
926,934
927,933
928,929
929,935
930,937
931,939
932,939
933,937
934,938
935,942
936,944
937,948
938,949
939,951
940,953
941,957
942,961
943,965
944,966
945,970
946,972
947,976
948,981
949,983
950,988
951,990
952,992
953,998
954,1003
955,1006
956,1010
957,1012
958,1013
959,1015
960,1019
961,1025
962,1026
963,1026
964,1027
965,1031
966,1032
967,1035
968,1036
969,1031
970,1030
971,1033
972,1031
973,1032
974,1030
975,1025
976,1022
977,1018
978,1016
979,1013
980,1005
981,1003
982,997
983,993
984,990
985,989
986,984
987,979
988,972
989,971
990,970
991,971
992,967
993,964
994,962
995,961
996,963
997,964
998,961
999,957
1000,955
1001,959
1002,958
1003,959
1004,958
1005,955
1006,957
1007,957
1008,958
1009,957
1010,957
1011,954
1012,956
1013,957
1014,958
1015,957
1016,959
1017,958
1018,960
1019,960
1020,961
1021,960
1022,961
1023,962
1024,963
1025,964
1026,965
1027,963
1028,962
1029,965
1030,965
1031,964
1032,966
1033,967
1034,967
1035,965
1036,966
1037,967
1038,968
1039,968
1040,967
1041,965
1042,967
1043,967
1044,966
1045,968
1046,967
1047,966
1048,965
1049,969
1050,967
1051,965
1052,965
1053,964
1054,964
1055,965
1056,965
1057,963
1058,960
1059,960
1060,960
1061,962
1062,962
1063,960
1064,959
1065,956
1066,958
1067,958
1068,957
1069,955
1070,954
1071,953
1072,953
1073,955
1074,955
1075,954
1076,953
1077,949
1078,951
1079,952
1080,953
1081,952
1082,951
1083,949
1084,950
1085,952
1086,952
1087,950
1088,949
1089,948
1090,948
1091,950
1092,951
1093,951
1094,949
1095,948
1096,948
1097,950
1098,953
1099,953
1100,949
1101,948
1102,950
1103,950
1104,953
1105,953
1106,956
1107,955
1108,958
1109,964
